Feature,Coefficients,abs_coefficients
poverty,0.14127329806631064,0.14127329806631064
multidimensional poverty,0.11502378135265325,0.11502378135265325
extremely poor,0.09933583809633148,0.09933583809633148
poverty gap index,-0.07735887384178015,0.07735887384178015
poor people,0.07674347536044207,0.07674347536044207
poverty alleviation,-0.07668956487474586,0.07668956487474586
head of household,0.07514080650950036,0.07514080650950036
child poverty,0.07418358892068205,0.07418358892068205
poverty levels,0.06939848191404405,0.06939848191404405
incidence of poverty,0.06925254357352197,0.06925254357352197
unicef,0.06884252583216938,0.06884252583216938
urban poverty,-0.06670715534902817,0.06670715534902817
anti-poverty program,0.06650153611832846,0.06650153611832846
poor,0.06644501264550573,0.06644501264550573
access to basic services,0.06553111814929646,0.06553111814929646
pro-poor,0.059602458376842644,0.059602458376842644
poor* famil*,0.05586809288721344,0.05586809288721344
lorenz curve,0.05575994580506526,0.05575994580506526
relative deprivation,0.05530684578382883,0.05530684578382883
afdc,0.05405494474825805,0.05405494474825805
risk of poverty,0.05292142791717813,0.05292142791717813
poverty measurement,0.0517350575969248,0.0517350575969248
working poor,0.05086788541189962,0.05086788541189962
anti-poverty,0.05066925062930715,0.05066925062930715
social* program*,0.050527250035618115,0.050527250035618115
poverty indicator,0.05036533132831092,0.05036533132831092
welfare reform,0.04976211362079253,0.04976211362079253
social protection,0.04835020108564914,0.04835020108564914
poverty level,0.048238173470308614,0.048238173470308614
basic service,0.04655163491402424,0.04655163491402424
social allowance,0.04380406733599465,0.04380406733599465
living standard,0.04357624718310851,0.04357624718310851
social insurance,0.043161147211420794,0.043161147211420794
rural poor,-0.038016544038847466,0.038016544038847466
social expenditure,-0.03801361211575966,0.03801361211575966
poverty risk,0.037467183885771346,0.037467183885771346
living in poverty,0.03710418643086603,0.03710418643086603
public pension,0.03619076832286052,0.03619076832286052
basic needs,0.03422930559139105,0.03422930559139105
private pension,0.032134186495327094,0.032134186495327094
poverty eradication,-0.03175836718329109,0.03175836718329109
the poor,0.029777506121829028,0.029777506121829028
microcredit*,0.029011754317293786,0.029011754317293786
social* assistance*,0.028946976555219474,0.028946976555219474
social assistance,0.028946976555219342,0.028946976555219342
antipoverty,-0.02866468083243682,0.02866468083243682
