Feature,Coefficients,abs_coefficients
electrification,0.14872242719503478,0.14872242719503478
solar,0.11962243465572112,0.11962243465572112
natural gas,0.11764835015877076,0.11764835015877076
reactor,0.1151703029179314,0.1151703029179314
nuclear power,0.1103235701184817,0.1103235701184817
renewable,0.10633025149776965,0.10633025149776965
energy,0.10468966174792999,0.10468966174792999
turbine,0.09867150574425405,0.09867150574425405
renewable energy,-0.09627897345678456,0.09627897345678456
electricity,0.0961141388854488,0.0961141388854488
electricity market,0.09608719825027622,0.09608719825027622
wind,0.08696003411594143,0.08696003411594143
clean energy,0.08243968696170019,0.08243968696170019
biofuel,-0.07960827655526893,0.07960827655526893
grid,0.07868998576987722,0.07868998576987722
smart grid,0.07556874387830481,0.07556874387830481
carbon tax,0.07140791452192459,0.07140791452192459
energy technology,0.0689461101093789,0.0689461101093789
green energy,-0.06874700256989166,0.06874700256989166
thermal energy,-0.06542103714984167,0.06542103714984167
pv,0.06518254824490088,0.06518254824490088
power plants,0.0643446237898659,0.0643446237898659
carbon leakage,0.06408341099560096,0.06408341099560096
air conditioning,0.06364392199518121,0.06364392199518121
solar energy,-0.06276033187582798,0.06276033187582798
electric,0.062430700735151376,0.062430700735151376
energy infrastructure,0.060110305075235515,0.060110305075235515
demand response,0.0595102608510733,0.0595102608510733
methane,0.05896483198829836,0.05896483198829836
energy access,0.05870275537232229,0.05870275537232229
fuel,0.057926974849104196,0.057926974849104196
rural electrification,0.05785951365435266,0.05785951365435266
greenhouse gas,0.05644158748318296,0.05644158748318296
wind farm,0.05631923617291395,0.05631923617291395
energy transition,0.05491423634328413,0.05491423634328413
feed-in tariff,0.05401515611339968,0.05401515611339968
electricity supply,-0.048307123966782495,0.048307123966782495
energy system,0.04723703968225278,0.04723703968225278
smart grids,0.04592194116928677,0.04592194116928677
wind power,0.043763376526488734,0.043763376526488734
heat pump,0.04221105991310295,0.04221105991310295
oil and gas production,0.04120643883551759,0.04120643883551759
fuelwood,-0.04092774425113524,0.04092774425113524
renewable fuels,-0.040636599540769855,0.040636599540769855
cooling,0.03882529912625616,0.03882529912625616
electric vehicle ,-0.03873152627122683,0.03873152627122683
clean,0.038563735820119016,0.038563735820119016
national renewable energy,-0.03739112697494889,0.03739112697494889
geothermal energy,-0.036376944637800744,0.036376944637800744
gasification,0.036173871551039904,0.036173871551039904
energy storage,0.0361716100127217,0.0361716100127217
biomass fuels,0.034823442044638796,0.034823442044638796
cars,0.03458022090257822,0.03458022090257822
universal access,-0.03429672718892793,0.03429672718892793
carbon finance,0.03415995033144412,0.03415995033144412
energy efficient,-0.03364036716541161,0.03364036716541161
steam,0.033504483485250314,0.033504483485250314
final energy,0.03344670052765218,0.03344670052765218
hybrid,-0.03335122850466489,0.03335122850466489
energy policy,-0.03247479661377525,0.03247479661377525
solar water,0.03237651366848821,0.03237651366848821
photovoltaics,0.032356651600839365,0.032356651600839365
solar power,0.03147213081203845,0.03147213081203845
hydro potential,0.03141202076960318,0.03141202076960318
hydroelectric,-0.031095140628189823,0.031095140628189823
emissions trading,0.031071930509660322,0.031071930509660322
sustainable electricity,0.030769496127593377,0.030769496127593377
bioenergy,-0.030323193445289175,0.030323193445289175
stirling,0.030136429260239822,0.030136429260239822
solar water heating,0.0297202582012002,0.0297202582012002
energy reduction,0.029651402249645544,0.029651402249645544
energy efficiency,0.029557644661826293,0.029557644661826293
methane emissions,0.029390652763843422,0.029390652763843422
wind resource,0.02911576703215182,0.02911576703215182
renewable energy sources,-0.028995571663149866,0.028995571663149866
clean cooking,0.028789608252138322,0.028789608252138322
hydro project,0.028718844750128515,0.028718844750128515
hydro projects,0.028718844750128508,0.028718844750128508
solar panels,-0.02865806299013892,0.02865806299013892
large hydro,0.028644667930845552,0.028644667930845552
electric power,-0.028465178767228004,0.028465178767228004
kyoto protocol,0.027925624233089027,0.027925624233089027
smart energy,0.027283381313215876,0.027283381313215876
carbon market,0.027021899162258715,0.027021899162258715
hydrogen,0.02701085472679795,0.02701085472679795
wind energy,-0.02689681248149771,0.02689681248149771
energy carrier,-0.026523628136956197,0.026523628136956197
aviation,-0.026445229806054075,0.026445229806054075
green certificate,0.02617107364884504,0.02617107364884504
energy strategy,-0.026142267590422156,0.026142267590422156
oil and natural gas,0.025703997082089352,0.025703997082089352
regasification,0.025632645621874228,0.025632645621874228
heating and cooling,0.025597625295729134,0.025597625295729134
convention on nuclear safety,0.025549487305574624,0.025549487305574624
egs,0.025401570488976826,0.025401570488976826
non-renewable,-0.02533248113363143,0.02533248113363143
rural electricity,0.025322337844213727,0.025322337844213727
renewable energy source,-0.02531069341550248,0.02531069341550248
electrical,0.024872997800531572,0.024872997800531572
energy planning,-0.024685436214240228,0.024685436214240228
